ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
-0.9027186,-0.009871268,0.963013,0.30678633,1.069514,0.53815573,0.78268653,-1.8615408,-1.3652513,-0.9059935,0.41332322,-0.009512441,0.92872417,1.3763329,-0.016007202,0.683992,1.3079207,0.6574653,-0.76644015,0.049729485,1.2680478,1.4071283,0.53574556,1.3239553,-0.7696503,-1.3298894,-0.36709514,-0.23154955,-0.5791767,0.2997875,0.9345682,0.86744803,-0.55820316,1.1094662,0.79682565,-0.92780733,-0.9271175,1.1848919,0.60769635,-0.20260286,0.3707895,0.45770904,0.14427082,0.56943065,0.28526372,-0.26558486,0.9375277,0.9527816,-0.1178507,1.4488966,1.6351084,1.0289953,-0.15889668,0.7548877,1.3406204,1.2455361,0.3081986,0.50468624,0.34831005,1.5032266,0.8698534,-0.3622212,1.2442279,1.6420338,-0.497057,-0.21160403,-0.7456878
-1.2122849,0.10938211,0.5920064,0.2631041,0.8902781,0.6259443,0.8818067,-1.3337677,-1.3971345,-0.8836534,0.33201796,-0.4067639,0.5870238,1.0702815,-0.052298833,0.019212663,0.73113805,0.48439062,-1.8754637,-0.03908734,1.1137112,1.018943,0.5663917,1.1731488,-1.1223983,-1.1085175,-0.35120338,-0.519952,-1.0560896,0.044796966,0.63828504,0.68106157,-0.27272582,0.7576358,0.6945056,0.35626402,-0.61910963,1.2752534,0.35840675,-0.21281144,0.50833946,0.10653682,-0.009934529,0.52561235,0.20088121,-0.1789258,0.77654433,0.7236208,0.008838803,1.2630621,1.7613319,0.8340366,0.0184684,1.0417565,1.3827535,0.64959395,0.25781813,0.69434386,0.20709583,1.3481374,0.92017883,0.10309682,1.2272086,1.5988966,-0.86808926,-0.24448824,-1.3136375
-0.9102467,0.16269514,1.2054182,0.3131455,0.49000052,0.64372265,0.8840795,-1.1857492,-1.4011393,-0.988209,0.5176934,-0.30374658,0.26053593,0.8352557,0.11977535,-0.3463162,0.47726882,0.52608836,-1.0338846,-0.19195546,1.091351,1.4167222,0.5830186,1.4507207,-0.23022272,-1.0734051,-0.31992844,-0.33051574,-1.0768895,-0.006902677,0.6335109,0.089245394,-0.10286458,0.63857144,0.9379199,-0.39836758,-0.64474916,1.3918811,0.8858249,0.3298246,0.63908124,0.14450096,0.06412036,0.45367768,0.30351228,0.09156765,0.9136568,0.88181746,0.050587717,1.7722347,1.7857248,1.1709789,0.13185091,1.2523892,1.3729854,1.2650852,0.20268868,0.66877013,-0.21760827,1.3158989,1.0819396,-0.77337486,1.4532431,1.4368807,-1.8316785,-0.4648288,-1.2332958
-1.2840272,0.18172137,1.0755591,0.13205741,0.25883576,0.66647255,0.9216496,-1.2443159,-1.478274,-0.90342426,0.857992,-0.25746885,0.60262454,0.61531746,0.40204647,-0.21320748,0.71421474,0.46222866,-0.6789394,0.15066753,1.159494,0.93526065,0.96242523,1.1681721,0.071603954,-0.90441,-0.011433583,-0.04022797,-0.773715,0.18124457,0.60891145,-0.29897863,0.099898316,1.1269871,0.7222458,-1.0697116,-0.26526916,1.4316131,0.6733692,0.6686273,0.7614194,0.32664564,0.17081335,0.7534261,0.69910777,0.38890964,1.2065367,0.7066299,0.5472464,1.913433,1.9874587,0.8588118,1.5456494,1.7894926,1.5422657,0.80512637,0.5337369,0.36407754,1.1084216,1.2680444,1.3155571,0.24209578,1.6489199,1.6243727,-1.2238694,-0.23822595,-1.3114412
-1.0265632,0.034757506,1.2448945,0.0705717,0.4386392,0.61631125,1.0635716,-1.2290443,-1.2897643,-1.0640218,1.1528679,0.20169728,0.9461179,0.40719917,1.1011788,0.49335146,1.009688,0.51182216,0.6164142,0.47418877,1.3468248,1.2255604,0.93705195,1.2237564,-0.07080664,-0.84921753,-0.11268309,0.7251563,-0.22897068,0.31873462,0.61585814,0.4713224,-0.03706125,1.1188816,0.73096246,-0.7478787,-0.37649733,1.5794301,0.6323225,0.6601765,0.8260638,0.585881,0.4265793,0.7206648,0.9595253,0.61870635,1.1887124,0.5913239,1.4701723,1.9069588,1.8876956,0.97128767,1.9092993,1.5599082,1.6179029,0.72074664,0.40655783,0.3930105,1.1606299,1.2201165,1.5518934,0.67663896,1.6676911,1.4974627,-0.900787,-0.36903396,-1.3132694
-1.2938924,-0.4151049,1.0322214,0.37312564,0.51012987,0.17555848,1.1245246,-1.2159923,-1.4237243,-0.97763026,1.3101392,0.79096603,1.2717185,0.462197,1.0176432,1.1420813,1.6164966,0.7318295,0.23061043,0.9438321,1.5311186,1.2050318,1.1155119,1.2087878,-0.033332672,-0.77639943,0.07533959,0.8165078,-0.26619846,0.45305508,0.583161,0.48693466,0.34050664,1.2645547,0.7299098,0.13585787,-0.3234954,1.5353339,0.858312,0.48407537,0.90129876,0.6328159,0.68889487,0.7834182,1.0385078,0.5688767,1.1798418,0.5876933,1.5253161,1.9210387,1.6957093,1.0617996,1.0664314,1.3307886,1.5862627,1.1171016,0.43828136,0.61026216,0.29334188,1.3478543,1.6888512,0.81844115,1.6199166,1.3335941,-0.80651706,-0.18407105,-0.9761363
-1.075941,-0.2889205,0.8319696,0.3449201,0.58612216,0.2883223,0.9354176,-1.1613035,-1.3302443,-0.84256196,1.2540208,0.92233455,1.7663208,0.8800561,1.1712346,1.6461537,1.9946567,1.017066,0.21146467,1.1209427,1.7439066,1.2428795,1.2814825,1.4188364,0.33592096,-0.74827987,0.19761705,1.5693071,-0.100144036,0.6181981,0.5452471,1.7050203,1.0239748,1.3340039,0.82736033,0.26653257,-0.6673505,1.457959,0.9584848,0.40847787,1.1142409,0.6911442,0.81247103,1.031638,1.3469999,0.24749742,1.3795469,0.5668868,1.6730243,1.5153184,1.7207085,1.1362532,1.5250394,1.0115768,1.7392858,1.2956244,0.51018167,1.1771523,2.1650593,1.5856899,1.9723018,1.393184,1.650348,1.3457726,-1.1826334,-0.35926172,-0.3687397
-0.5411147,0.26977146,0.69215643,0.49489683,0.48067835,0.07565113,1.0048913,-0.97773165,-1.2031112,-0.6594286,0.9627158,0.8079991,1.7736037,1.1989206,0.8520368,1.1249703,1.7028499,0.9980849,-0.33204988,0.6272733,1.5702566,1.5877596,1.240839,1.2171662,-0.044756934,-0.6700898,0.34037158,0.8752705,-0.11163033,0.56117356,0.4353736,2.0135775,0.24258584,0.8855834,0.78711694,0.36557043,-0.8782097,1.09968,1.1090548,-0.031031338,0.83096963,1.2701489,0.5393816,1.141749,1.0313009,-0.2253641,1.1018999,0.65134424,0.83224463,0.83793616,1.2048535,1.3016367,0.9528502,0.40719455,1.3827881,1.354294,0.5358536,0.9682555,0.93542624,1.7364793,1.7638584,0.32702398,1.2922084,0.94778585,-0.2570412,-0.45752117,-0.4415846
-0.06285845,-0.14317773,0.51110566,0.3941929,0.118482426,-0.19767608,0.87261057,-0.7351768,-1.3000576,-0.6354083,0.82275623,0.4740956,1.3563396,1.1637034,0.41631687,0.5001449,0.9969907,0.8982998,-0.714952,-0.25961426,1.1370938,1.3149713,0.7625755,1.0628918,0.42464942,-0.66348594,0.10611449,0.024141679,-0.6464119,0.39705887,0.41180933,1.003596,-0.5917526,0.35144147,0.6970199,-0.85932636,-1.1613747,0.6305745,0.6600898,-0.19911438,0.5386132,1.2276491,0.5412254,0.95547795,0.4567182,-0.4751522,0.8666126,0.83231306,-0.11245933,0.6752519,0.7818434,1.003937,0.44551566,0.027658835,1.0788243,1.0729023,0.20252585,0.80269957,0.13500267,1.9175041,1.4391781,-0.43506086,1.2103513,0.60599875,-0.59128594,-0.65637046,-0.49132574
-0.5305909,-0.22257082,0.8382567,0.10389401,-0.22491367,0.02584313,0.7845666,-0.9713768,-1.3453988,-0.82151055,0.18444197,-0.20139942,0.5146948,0.49868783,-0.38340813,-0.22891729,0.33018827,0.35580453,-0.7494806,-0.92741793,0.73434925,1.1985883,0.5558364,0.6784958,-0.055788487,-0.9591579,0.053430174,-0.94727933,-1.3222616,-0.076704234,0.20468219,0.058796685,-1.2283401,-0.4940035,0.4033656,-0.4526039,-1.3161383,0.2945963,0.3259422,-0.5858636,0.021121206,1.1263734,-0.03682105,0.7949836,0.08062143,-0.70027834,0.60619193,0.2723059,-0.82009506,0.61157626,0.6882523,0.71304613,-0.0819211,-0.2913564,0.9895302,0.6490722,0.2877642,0.2995559,0.15261514,1.3887451,1.1782206,-0.6870588,0.8688483,0.32513222,-1.1463891,-1.173206,-0.99698246
