edge_index,mean_fc_z_across_windows,std_fc_z_across_windows
531,0.6830740013027561,0.44257494950497434
532,1.0883230246902555,0.5050915006642615
533,1.429960639220089,0.4887565019922501
534,1.3913011457345543,0.404012835391325
535,0.9368894560650117,0.4721757692137511
536,1.3028867058838554,0.40024163617892555
537,0.5082375629388302,0.4580525273815716
538,0.7711490695566743,0.4844330366014307
539,0.4731891304875469,0.4269867242757267
540,0.8311124690217705,0.470380452579344
541,0.7809539523313185,0.5447801009542197
542,1.1727144116825554,0.5340121951523022
543,0.8392011332252941,0.49517800063431944
544,1.033608746341149,0.4533799542801194
545,0.7479343664486512,0.4278464299702728
546,0.7951062167041912,0.5496947013623854
547,0.47889735897597735,0.4966436823916738
548,0.6844672902343966,0.47427908766430493
549,0.7575117611804076,0.5202826598951344
550,0.3334838479543491,0.4646745656393412
551,0.5703110385840252,0.4713841133286771
552,0.4863941521076975,0.43790842506342686
553,0.28185690718317574,0.4675791110500189
554,0.19543109071611348,0.36561553788234574
555,0.7719587642855672,0.3957546223112877
556,0.2926433754052478,0.46666450255401615
557,-0.01680570923710802,0.3551579935294316
558,0.1268055059566681,0.3486528075110566
559,0.11792768401995064,0.42206092994259004
560,0.278435099599031,0.3073469136429797
561,-0.1328319140527237,0.39556129531364626
562,-0.08214140000623425,0.40008259031777316
563,0.04882712834989743,0.3437621974225977
564,0.23363600369797316,0.3672229494561713
565,0.3582746437407609,0.251226088320648
566,0.3127106078542169,0.41059462363761323
567,0.4514201565497307,0.23086378469558666
568,0.12817094124298892,0.29406868026462274
569,0.11568714606058916,0.3160993248614799
570,0.44910547706347054,0.33621044593275773
571,0.3986259838610327,0.4182114600706324
572,0.09731919897549694,0.36602335938651853
573,0.1824955395675024,0.37451762889077994
574,0.4363137417557114,0.41338751538849317
575,0.3042588688490926,0.42422138091197487
576,0.5166185701104575,0.30685476321683847
577,0.9090373991014027,0.3152378480312702
578,0.35685054819357054,0.33945578477162025
579,0.6359026551583834,0.5078110553355748
580,0.7961718447787667,0.4385220839045904
581,0.38604617154208365,0.5196632310307493
582,0.665964171264825,0.40876542271753535
583,0.3520421391081042,0.4551388671182198
584,0.5744754219132359,0.39337671841052935
585,0.7009174926071714,0.45192770309257124
586,0.6978556768064936,0.4367367536844006
587,0.6966053236822769,0.3793769916353432
588,0.39002415513208855,0.4304762032029138
589,0.5379612390274849,0.4148920939200217
590,0.5365744427741946,0.43133161650383794
591,0.8516912275039507,0.3643111199831235
592,0.4385263308631636,0.4711507909888834
593,0.5648111351372272,0.3301677134704548
594,0.6217720551730063,0.257521805385633
595,0.27122536607360015,0.44558844486663
596,0.3481571987849303,0.399826522126103
597,0.1250165670057001,0.38623741746495394
598,0.4260215431980606,0.4360250199473584
599,0.3684320971991894,0.31821649955783443
600,0.3391917230850319,0.41087382826301794
601,0.5087734672425687,0.30759369873866926
602,0.40851773615149517,0.30353835822128306
603,0.5399486349566006,0.33844640239500823
604,0.6759919742106864,0.37448515829748874
605,0.40996050654543176,0.3747841050044074
606,0.4331915320436883,0.3267670807626074
607,0.5601197882207062,0.2526488851246275
608,0.4851795531484332,0.22782081707063298
609,0.8337373503227561,0.3244085569021084
610,0.8556472809699116,0.38596309941388895
611,0.9479975034214675,0.3459054179632361
612,1.004805833593584,0.3746110265342691
613,0.6264387116850232,0.37493552517548395
614,0.6549213890595175,0.4907398927210265
615,0.8014186967238456,0.3601196290602832
616,0.669644808960445,0.5068071901610489
617,0.7988936395363263,0.4486385486101172
618,0.7494266863979809,0.4162253464964164
619,0.9425605683468827,0.4189883095282709
620,1.1059782110395457,0.24090505928753017
621,0.954362210667915,0.22841947496389817
622,0.3721453416344076,0.18351174987054739
623,0.4197609988620135,0.4056554427400824
624,0.39413654383717694,0.40660562809855905
625,0.6642987591803575,0.4212998814742157
626,0.8817135253658394,0.3780161348618125
627,0.7336315167304074,0.4199260272226866
628,0.40422797726821547,0.4488778245254802
629,0.674169739853107,0.42947828697087975
630,0.19529987550262334,0.39467335284243227
631,0.37007288740693567,0.40061401695340265
632,0.13784084016459702,0.4228174335164201
633,0.3915015825972423,0.367876477808214
634,0.3774861220125609,0.4383147110448514
635,0.5958672483452065,0.43404807948568086
636,0.4532307022412275,0.4260536050064499
637,0.6356311979523679,0.46762249639177195
638,0.7684524180547565,0.3573457368129861
639,0.36481592890519243,0.4374031072310673
640,0.1291251742911304,0.4005436912915343
641,0.27731432410435547,0.39689777187353664
642,0.3915803844920303,0.4693386184704538
643,0.07477132884245985,0.34367811538846615
644,0.317689407371451,0.33358507310440805
645,0.3648926694530249,0.33219026558258696
646,-0.03773708590527218,0.4955760621356166
647,-0.024729084335103367,0.375039034226199
648,0.548705500117989,0.3602492612099858
649,0.12449874122620042,0.39454828882455356
650,0.0670328865128072,0.28304577674752923
651,0.1752328657626648,0.28553964418778705
652,0.04300298282844636,0.28222254121695933
653,0.3274139926770094,0.31027389639192476
654,0.0463916839324562,0.4269337452996779
655,0.024231365689789217,0.36611241711199993
656,-0.09465424775561962,0.36343341118438977
657,0.3396474683750742,0.29460536820768557
658,0.43796532706493935,0.1690641583071306
659,0.3120198849243895,0.3211860705638089
660,0.42488425044293177,0.22209292759712915
661,0.3841106261103401,0.29632949242267886
662,0.26845224784303257,0.35891311124047076
663,0.2760200082440061,0.2728370835619782
664,0.3545972630291815,0.35979514126900186
665,0.18797430602520798,0.32146126637416483
666,0.19672776994621463,0.31647090218326474
667,0.5132946870689041,0.3283723930090151
668,0.6447595255664497,0.36064498618152757
669,0.4416617776277962,0.2844309744906828
670,0.9977810185800838,0.27649799278256626
671,0.733863449707547,0.21339555366325821
672,1.4462684389273806,0.5247496387346074
673,1.1509331907562121,0.4479477086281647
674,1.2065786126997282,0.395804417161843
675,1.0960328726581814,0.33616877372638326
676,1.2548000598413593,0.3200448136609909
677,1.31863356266872,0.3817839192086737
678,1.2742284584631187,0.41097231237841353
679,1.1494666296299278,0.4276202021840043
680,0.9365613473137504,0.4213162666709368
681,1.4784436918893638,0.4078586566459915
682,1.1674799431652692,0.4256819232846945
683,1.000971708757715,0.5314688063683571
684,1.301576317087796,0.3632941968341551
685,0.7323710456590973,0.4113928612232596
686,0.8465310410178901,0.34457940630947353
687,0.6793009546208352,0.47048936086454163
688,0.7442591037179811,0.29347246641107666
689,0.5721300412891379,0.4004922194759868
690,0.6146874545144416,0.46521757822458976
691,0.5873455089389963,0.40024487916426266
692,0.9165873335124155,0.36345655437714375
693,0.840091266325771,0.4193012377564596
